date,title,category,analyst,company,download_link,filename
2025-07-018,라면이 아직 안 끓어요 / 농심(004370),종목리포트,김진우,유진투자증권,https://stock.mk.co.kr/uploads/20250718/1752800991_0870b4f3caeb42c75bd9.pdf,202507018_유진투자증권_라면이 아직 안 끓어요 _ 농심(004370).pdf
2025-07-018,"2Q25 Pre: 컨센 상회, 전 사업부 고른 성장 / 녹십자(006280)",종목리포트,이선경,SK증권,https://stock.mk.co.kr/uploads/20250718/1752800573_bdbe0301e20c72ab9f4c.pdf,"202507018_SK증권_2Q25 Pre_ 컨센 상회, 전 사업부 고른 성장 _ 녹십자(006280).pdf"
2025-07-018,Black PDL이 바꿀 기업 가치 / 덕산네오룩스(213420),종목리포트,김소원,키움증권,https://stock.mk.co.kr/uploads/20250718/1752799734_5563ef1b4aa269a866f4.pdf,202507018_키움증권_Black PDL이 바꿀 기업 가치 _ 덕산네오룩스(213420).pdf
2025-07-018,네 박자 호흡 속 미국 경제 체력은 회복 중,분석리포트,박상현,iM증권,https://stock.mk.co.kr/uploads/20250718/1752799316_99cd00accc3d183c5ddb.pdf,202507018_iM증권_네 박자 호흡 속 미국 경제 체력은 회복 중.pdf
2025-07-017,쉴 틈 없는 하반기 / 엔씨소프트(036570),종목리포트,남효지,SK증권,https://stock.mk.co.kr/uploads/20250717/1752715611_969f054f12749be9a17f.pdf,202507017_SK증권_쉴 틈 없는 하반기 _ 엔씨소프트(036570).pdf
2025-07-017,주가는 싸다 / 오리온(271560),종목리포트,김태현,IBK투자증권,https://stock.mk.co.kr/uploads/20250717/1752715323_af5113a2f66ddd02d23b.pdf,202507017_IBK투자증권_주가는 싸다 _ 오리온(271560).pdf
2025-07-017,스테이블 코인과 몇 가지 매크로 이슈,이슈분석,이정훈,유진투자증권,https://stock.mk.co.kr/uploads/20250717/1752715043_c2bcf7261e09266c360c.pdf,202507017_유진투자증권_스테이블 코인과 몇 가지 매크로 이슈.pdf
2025-07-017,반도체-NVIDIA 중국 매출과 메모리 TAM 확대 전망,분석리포트,이수림,DS투자증권,https://stock.mk.co.kr/uploads/20250717/1752714582_f0a19bc31733d95ab8eb.pdf,202507017_DS투자증권_반도체-NVIDIA 중국 매출과 메모리 TAM 확대 전망.pdf
2025-07-016,거의 다 왔습니다. 잠시만요 / CJ ENM(035760),종목리포트,김회재,대신증권,https://stock.mk.co.kr/uploads/20250716/1752628833_0dd6cdc787bf7adf0109.pdf,202507016_대신증권_거의 다 왔습니다. 잠시만요 _ CJ ENM(035760).pdf
2025-07-016,무역협상 및 밸류에이션 현황 점검 필요 / 현대오토에버(307950),종목리포트,신윤철,키움증권,https://stock.mk.co.kr/uploads/20250716/1752627087_533c20940cdd83040559.pdf,202507016_키움증권_무역협상 및 밸류에이션 현황 점검 필요 _ 현대오토에버(307950).pdf
