title,url,date,company,stock_name,stock_code,pdf_link,success,path
하반기 이익 개선 강도 유통섹터 내 최고,https://finance.naver.comcompany_read.naver?nid=83975&page=1,25.06.30,대신증권,신세계,004170,https://stock.pstatic.net/stock-research/company/2/20250630_company_795875000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\대신증권_신세계_250630_하반기 이익 개선 강도 유통섹터 내 최고.pdf
주주가치 제고 노력 가장 적극적인 실적 호전..,https://finance.naver.comcompany_read.naver?nid=83974&page=1,25.06.30,대신증권,현대백화점,069960,https://stock.pstatic.net/stock-research/company/2/20250630_company_862213000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\대신증권_현대백화점_250630_주주가치 제고 노력 가장 적극적인 실적 호전.pdf
실적 부진에 따른 주가 조정은 매수 기회,https://finance.naver.comcompany_read.naver?nid=83973&page=1,25.06.30,대신증권,GS리테일,007070,https://stock.pstatic.net/stock-research/company/2/20250630_company_334824000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\대신증권_GS리테일_250630_실적 부진에 따른 주가 조정은 매수 기회.pdf
실적 회복 시점도 얼마 안 남았다,https://finance.naver.comcompany_read.naver?nid=83972&page=1,25.06.30,대신증권,BGF리테일,282330,https://stock.pstatic.net/stock-research/company/2/20250630_company_932210000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\대신증권_BGF리테일_250630_실적 회복 시점도 얼마 안 남았다.pdf
성장성을 감안할 때 Valuation 재평가는 정당..,https://finance.naver.comcompany_read.naver?nid=83971&page=1,25.06.30,현대차증권,SK하이닉스,000660,https://stock.pstatic.net/stock-research/company/1/20250630_company_434232000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\현대차증권_SK하이닉스_250630_성장성을 감안할 때 Valuation 재평가는 정당.pdf
2Q25 Preview: 무난한 실적 기록 전망,https://finance.naver.comcompany_read.naver?nid=83970&page=1,25.06.30,교보증권,삼성중공업,010140,https://stock.pstatic.net/stock-research/company/62/20250630_company_717534000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\교보증권_삼성중공업_250630_2Q25 Preview 무난한 실적 기록 전망.pdf
IPO 주관사 업데이트: 품목 다변화와 신산업..,https://finance.naver.comcompany_read.naver?nid=83969&page=1,25.06.30,하나증권,엠에프씨,432980,https://stock.pstatic.net/stock-research/company/57/20250630_company_224056000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\하나증권_엠에프씨_250630_IPO 주관사 업데이트 품목 다변화와 신산업.pdf
IPO 주관사 업데이트: 2Q25부터 수출 회복세 ..,https://finance.naver.comcompany_read.naver?nid=83968&page=1,25.06.30,하나증권,에스지헬스케어,398120,https://stock.pstatic.net/stock-research/company/1/20250630_company_38050000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\하나증권_에스지헬스케어_250630_IPO 주관사 업데이트 2Q25부터 수출 회복세 .pdf
IPO 주관사 업데이트: 사업 확장으로 매출 ..,https://finance.naver.comcompany_read.naver?nid=83967&page=1,25.06.30,하나증권,선바이오,067370,https://stock.pstatic.net/stock-research/company/1/20250630_company_194976000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\하나증권_선바이오_250630_IPO 주관사 업데이트 사업 확장으로 매출 .pdf
보여줄게 더 많아,https://finance.naver.comcompany_read.naver?nid=83966&page=1,25.06.30,하나증권,삼성에스디에스,018260,https://stock.pstatic.net/stock-research/company/1/20250630_company_556110000.pdf,True,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\consensus\naver\하나증권_삼성에스디에스_250630_보여줄게 더 많아.pdf
