title,url,date,company,stock_name,stock_code,pdf_link,success,path,skip
2Q25 Pre: Top 10 고객사 순위 격변 중,https://finance.naver.comcompany_read.naver?nid=84341&page=1,25.07.11,교보증권,코스맥스,192820,https://stock.pstatic.net/stock-research/company/34/20250711_company_506262000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/교보증권_코스맥스_250711_2Q25 Pre Top 10 고객사 순위 격변 중.pdf,True
2분기 무난하게,https://finance.naver.comcompany_read.naver?nid=84340&page=1,25.07.11,하나증권,HDC현대산업개발,294870,https://stock.pstatic.net/stock-research/company/57/20250711_company_380818000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/하나증권_HDC현대산업개발_250711_2분기 무난하게.pdf,True
프로야구 인기와 동반하고 있는 야구 라인업,https://finance.naver.comcompany_read.naver?nid=84339&page=1,25.07.11,한화투자증권,컴투스,078340,https://stock.pstatic.net/stock-research/company/16/20250711_company_655998000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/한화투자증권_컴투스_250711_프로야구 인기와 동반하고 있는 야구 라인업.pdf,True
스키즈 레버리지,https://finance.naver.comcompany_read.naver?nid=84338&page=1,25.07.11,한화투자증권,JYP Ent.,035900,https://stock.pstatic.net/stock-research/company/16/20250711_company_178732000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/한화투자증권_JYP Ent._250711_스키즈 레버리지.pdf,True
효자손 같은 기업!,https://finance.naver.comcompany_read.naver?nid=84337&page=1,25.07.11,유안타증권,미트박스,475460,https://stock.pstatic.net/stock-research/company/18/20250711_company_54689000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_미트박스_250711_효자손 같은 기업.pdf,True
안정적인 케이캡 처방 증가,https://finance.naver.comcompany_read.naver?nid=84336&page=1,25.07.11,유안타증권,HK이노엔,195940,https://stock.pstatic.net/stock-research/company/18/20250711_company_474383000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_HK이노엔_250711_안정적인 케이캡 처방 증가.pdf,True
2분기도 어려웠던 식품,https://finance.naver.comcompany_read.naver?nid=84335&page=1,25.07.11,대신증권,CJ제일제당,097950,https://stock.pstatic.net/stock-research/company/2/20250711_company_71244000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/대신증권_CJ제일제당_250711_2분기도 어려웠던 식품.pdf,True
작년 하반기 기저가 두렵지 않은 이유,https://finance.naver.comcompany_read.naver?nid=84334&page=1,25.07.11,대신증권,크래프톤,259960,https://stock.pstatic.net/stock-research/company/2/20250711_company_319024000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/대신증권_크래프톤_250711_작년 하반기 기저가 두렵지 않은 이유.pdf,True
꾸준히 준비 중인 미래,https://finance.naver.comcompany_read.naver?nid=84333&page=1,25.07.11,대신증권,제너셈,217190,https://stock.pstatic.net/stock-research/company/2/20250711_company_85697000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/대신증권_제너셈_250711_꾸준히 준비 중인 미래.pdf,True
하반기 실적 개선 사이클 진입 전망,https://finance.naver.comcompany_read.naver?nid=84332&page=1,25.07.11,대신증권,F&F,383220,https://stock.pstatic.net/stock-research/company/2/20250711_company_359630000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/대신증권_F&F_250711_하반기 실적 개선 사이클 진입 전망.pdf,True
