title,url,date,company,stock_name,stock_code,pdf_link,success,path,skip,error
믿을 건 결국 실적,https://finance.naver.comcompany_read.naver?nid=84433&page=1,25.07.15,대신증권,HDC현대산업개발,294870,https://stock.pstatic.net/stock-research/company/2/20250715_company_309614000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/대신증권_HDC현대산업개발_250715_믿을 건 결국 실적.pdf,,
글로벌에서 커지는 존재감: 처방 증가와 수주..,https://finance.naver.comcompany_read.naver?nid=84432&page=1,25.07.15,대신증권,유한양행,000100,https://stock.pstatic.net/stock-research/company/2/20250715_company_848389000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/대신증권_유한양행_250715_글로벌에서 커지는 존재감 처방 증가와 수주.pdf,,
주가 상승의 톱니바퀴가 맞물린 모습,https://finance.naver.comcompany_read.naver?nid=84431&page=1,25.07.15,한화투자증권,코웨이,021240,https://stock.pstatic.net/stock-research/company/16/20250715_company_163716000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/한화투자증권_코웨이_250715_주가 상승의 톱니바퀴가 맞물린 모습.pdf,True,
"2025년 하반기, 저PBR 해소 흐름 이어진다!",https://finance.naver.comcompany_read.naver?nid=84430&page=1,25.07.15,유안타증권,LG화학,051910,https://stock.pstatic.net/stock-research/company/1/20250715_company_248892000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_LG화학_250715_2025년 하반기 저PBR 해소 흐름 이어진다.pdf,True,
자체사업의 힘,https://finance.naver.comcompany_read.naver?nid=84429&page=1,25.07.15,유안타증권,HDC현대산업개발,294870,https://stock.pstatic.net/stock-research/company/18/20250715_company_146443000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_HDC현대산업개발_250715_자체사업의 힘.pdf,True,
오르지 못할 이유가 없다,https://finance.naver.comcompany_read.naver?nid=84428&page=1,25.07.15,유안타증권,GS건설,006360,https://stock.pstatic.net/stock-research/company/18/20250715_company_557513000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_GS건설_250715_오르지 못할 이유가 없다.pdf,True,
"예견된 상반기, 기대되는 하반기",https://finance.naver.comcompany_read.naver?nid=84427&page=1,25.07.15,유안타증권,삼성E&A,028050,https://stock.pstatic.net/stock-research/company/1/20250715_company_567033000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_삼성E&A_250715_예견된 상반기 기대되는 하반기.pdf,True,
회복 방향성은 유효,https://finance.naver.comcompany_read.naver?nid=84426&page=1,25.07.15,유안타증권,대우건설,047040,https://stock.pstatic.net/stock-research/company/18/20250715_company_537295000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_대우건설_250715_회복 방향성은 유효.pdf,True,
늘어나는 성장 포인트,https://finance.naver.comcompany_read.naver?nid=84425&page=1,25.07.15,유안타증권,KT&G,033780,https://stock.pstatic.net/stock-research/company/18/20250715_company_668418000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_KT&G_250715_늘어나는 성장 포인트.pdf,True,
"Keep Going, 진짜는 3Q부터",https://finance.naver.comcompany_read.naver?nid=84424&page=1,25.07.15,유안타증권,삼양식품,003230,https://stock.pstatic.net/stock-research/company/18/20250715_company_529378000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_삼양식품_250715_Keep Going 진짜는 3Q부터.pdf,True,
"차별화된 주가 흐름, 투자의견 Buy로 상향",https://finance.naver.comcompany_read.naver?nid=84423&page=1,25.07.15,iM증권,HMM,011200,https://stock.pstatic.net/stock-research/company/61/20250715_company_566575000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/iM증권_HMM_250715_차별화된 주가 흐름 투자의견 Buy로 상향.pdf,True,
중장기적 모멘텀 유효,https://finance.naver.comcompany_read.naver?nid=84422&page=1,25.07.15,iM증권,하이브,352820,https://stock.pstatic.net/stock-research/company/61/20250715_company_916357000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/iM증권_하이브_250715_중장기적 모멘텀 유효.pdf,True,
이제 방산 밸류에이션 줘요,https://finance.naver.comcompany_read.naver?nid=84421&page=1,25.07.15,유진투자증권,풍산,103140,https://stock.pstatic.net/stock-research/company/63/20250715_company_753455000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유진투자증권_풍산_250715_이제 방산 밸류에이션 줘요.pdf,True,
스테이블코인 유통/결제 부문 역할 기대,https://finance.naver.comcompany_read.naver?nid=84420&page=1,25.07.15,신한투자증권,KG이니시스,035600,,False,,,PDF 링크 없음
중장기 우상향은 보장된 미래,https://finance.naver.comcompany_read.naver?nid=84419&page=1,25.07.15,SK증권,덕산네오룩스,213420,https://stock.pstatic.net/stock-research/company/64/20250715_company_880463000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/SK증권_덕산네오룩스_250715_중장기 우상향은 보장된 미래.pdf,True,
알고 보면 무서운 쇠맛,https://finance.naver.comcompany_read.naver?nid=84418&page=1,25.07.15,유진투자증권,현대제철,004020,https://stock.pstatic.net/stock-research/company/63/20250715_company_334851000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유진투자증권_현대제철_250715_알고 보면 무서운 쇠맛.pdf,True,
실적 관건: 이차전지 적자 폭,https://finance.naver.comcompany_read.naver?nid=84417&page=1,25.07.15,유진투자증권,POSCO홀딩스,005490,https://stock.pstatic.net/stock-research/company/63/20250715_company_450288000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유진투자증권_POSCO홀딩스_250715_실적 관건 이차전지 적자 폭.pdf,True,
K-beauty Tiktok Hunters,https://finance.naver.comcompany_read.naver?nid=84416&page=1,25.07.15,유진투자증권,청담글로벌,362320,https://stock.pstatic.net/stock-research/company/63/20250715_company_772349000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유진투자증권_청담글로벌_250715_K-beauty Tiktok Hunters.pdf,True,
2Q25 Preview: 관세 불확실성 완화 기대,https://finance.naver.comcompany_read.naver?nid=84415&page=1,25.07.15,IBK투자증권,SK바이오팜,326030,https://stock.pstatic.net/stock-research/company/40/20250715_company_589519000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/IBK투자증권_SK바이오팜_250715_2Q25 Preview 관세 불확실성 완화 기대.pdf,True,
단기 부진보다 회복에 초점,https://finance.naver.comcompany_read.naver?nid=84414&page=1,25.07.15,키움증권,효성티앤씨,298020,https://stock.pstatic.net/stock-research/company/39/20250715_company_244114000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/키움증권_효성티앤씨_250715_단기 부진보다 회복에 초점.pdf,True,
