title,url,date,company,stock_name,stock_code,pdf_link,success,path,error
2Q25 Preview: 공작사업부 매각 완료,https://finance.naver.comcompany_read.naver?nid=84470&page=1,25.07.16,유진투자증권,현대위아,011210,https://stock.pstatic.net/stock-research/company/63/20250716_company_242093000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유진투자증권_현대위아_250716_2Q25 Preview 공작사업부 매각 완료.pdf,
2Q25 Pre: 고민도 기대도 되는 하반기,https://finance.naver.comcompany_read.naver?nid=84469&page=1,25.07.16,교보증권,현대차,005380,https://stock.pstatic.net/stock-research/company/1/20250716_company_500153000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/교보증권_현대차_250716_2Q25 Pre 고민도 기대도 되는 하반기.pdf,
2Q25 Preview: 건축/주택에 원전 더하기,https://finance.naver.comcompany_read.naver?nid=84468&page=1,25.07.16,교보증권,현대건설,000720,https://stock.pstatic.net/stock-research/company/62/20250716_company_587339000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/교보증권_현대건설_250716_2Q25 Preview 건축주택에 원전 더하기.pdf,
6월 Re: 글로벌 전반 소비둔화 지속,https://finance.naver.comcompany_read.naver?nid=84467&page=1,25.07.16,교보증권,오리온,271560,https://stock.pstatic.net/stock-research/company/34/20250716_company_215190000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/교보증권_오리온_250716_6월 Re 글로벌 전반 소비둔화 지속.pdf,
"일찍 시작된 서곡, 순조로운 시리즈화",https://finance.naver.comcompany_read.naver?nid=84466&page=1,25.07.16,하나증권,네오위즈,095660,https://stock.pstatic.net/stock-research/company/57/20250716_company_881876000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/하나증권_네오위즈_250716_일찍 시작된 서곡 순조로운 시리즈화.pdf,
AI 수요 호조에 동반,https://finance.naver.comcompany_read.naver?nid=84465&page=1,25.07.16,하나증권,SK하이닉스,000660,https://stock.pstatic.net/stock-research/company/57/20250716_company_54550000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/하나증권_SK하이닉스_250716_AI 수요 호조에 동반.pdf,
Super Fans Monetization (feat. TME),https://finance.naver.comcompany_read.naver?nid=84464&page=1,25.07.16,한화투자증권,디어유,376300,https://stock.pstatic.net/stock-research/company/16/20250716_company_577474000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/한화투자증권_디어유_250716_Super Fans Monetization feat TME.pdf,
2Q25 Preview : 더 가팔라질 중국 아웃도어 ..,https://finance.naver.comcompany_read.naver?nid=84463&page=1,25.07.16,한화투자증권,F&F,383220,https://stock.pstatic.net/stock-research/company/16/20250716_company_374024000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/한화투자증권_F&F_250716_2Q25 Preview  더 가팔라질 중국 아웃도어 .pdf,
나는 아직 배고프다!,https://finance.naver.comcompany_read.naver?nid=84462&page=1,25.07.16,유안타증권,파인엠텍,441270,https://stock.pstatic.net/stock-research/company/18/20250716_company_673718000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_파인엠텍_250716_나는 아직 배고프다.pdf,
견고하다,https://finance.naver.comcompany_read.naver?nid=84461&page=1,25.07.16,대신증권,코스맥스,192820,https://stock.pstatic.net/stock-research/company/2/20250716_company_918804000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/대신증권_코스맥스_250716_견고하다.pdf,
2Q 부진하나 2026년 성장에 초점,https://finance.naver.comcompany_read.naver?nid=84460&page=1,25.07.16,대신증권,비에이치,090460,https://stock.pstatic.net/stock-research/company/2/20250716_company_704825000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/대신증권_비에이치_250716_2Q 부진하나 2026년 성장에 초점.pdf,
"2Q 영업이익, 우려대비 양호! 숫자, 경쟁력 ..",https://finance.naver.comcompany_read.naver?nid=84459&page=1,25.07.16,대신증권,삼성전기,009150,https://stock.pstatic.net/stock-research/company/2/20250716_company_877433000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/대신증권_삼성전기_250716_2Q 영업이익 우려대비 양호 숫자 경쟁력 .pdf,
