title,subtitle,date,author,pdf_url,category,stock_name
카카오페이," 오버슈팅 구간, 밸류에이션 재점검 필요",2025.07.17,임희연,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337985,국내종목,카카오페이
삼성SDI, 어려운 대외환경 지속,2025.07.17,이진명,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337983,국내종목,삼성SDI
[화장품] A to Z 마스터, 수출로 끝장 보다!,2025.07.16,박현진,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337956,국내업종,[화장품] A to Z 마스터
[통신서비스] 2Q25 Preview, 나쁠 게 없군,2025.07.16,김아람,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337950,국내업종,[통신서비스] 2Q25 Preview
포스코퓨처엠, 내실을 다지는 구간,2025.07.16,이진명,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337949,국내종목,포스코퓨처엠
오리온, 약속의 하반기에 들어서며,2025.07.16,조상훈,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337945,국내종목,오리온
미디어/광고, 하반기 분위기 반전,2025.07.16,지인해,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337940,국내업종,미디어/광고
엔터테인먼트, 업종 분위기는 여전히 견조,2025.07.16,지인해,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337938,국내업종,엔터테인먼트
CJ대한통운, 2Q25Pre: 아직 기 모으는 중,2025.07.16,최민기,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337937,국내종목,CJ대한통운
팬오션, 2Q25 Pre: 완만한 흐름 이어지는 중,2025.07.16,최민기,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337936,국내종목,팬오션
펩트론, 지속형 기술 상업화로 검증 '루프원' 승인,2025.07.16,엄민용,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337935,국내종목,펩트론
KG이니시스, 스테이블코인 유통/결제 부문 역할 기대,2025.07.15,박현우,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337909,국내종목,KG이니시스
SOOP, 나 혼자만 광고 호황,2025.07.15,강석오,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337905,국내종목,SOOP
신한 플랫폼 Weekly(엔터/미디어/인터넷/게임/통신), 돈이 되는 오지랖(7월 3주차),2025.07.14,지인해,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337871,국내업종,신한 플랫폼 Weekly(엔터/미디어/인터넷/게임/통신)
신한 건설 Weekly (7월 3주차),,2025.07.14,이동헌,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337870,국내업종,신한 건설 Weekly (7월 3주차)
효성티앤씨, 불황에도 강한데 다가올 호황에는?,2025.07.14,이진명,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337863,국내종목,효성티앤씨
이마트, 이제부터는 실적이 따라붙을 것,2025.07.14,조상훈,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337862,국내종목,이마트
[혁신성장] 2Q25 Preview, 주도주와 턴어라운드,2025.07.14,이병화,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337886,국내업종,[혁신성장] 2Q25 Preview
에이치브이엠: 노 젓는 구간,,2025.07.11,허성규,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337812,국내종목,에이치브이엠: 노 젓는 구간
롯데케미칼, 과도한 우려는 경계,2025.07.11,이진명,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=337811,국내종목,롯데케미칼
