date,stock,opinion,title,author,original_filename,pdf_filename,pdf_link,pdf_path
2025/06/30,에이피알,BUY,2Q25 Preview: 밸류에이션 우위 지속 전망,이승은김도엽관심 애널리스트,20250629122918083_0_ko.pdf,20250629122918083_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250629122918083_0_ko.pdf
2025/06/30,신세계,BUY,"실적 저점, 반등 구간",이승은김도엽관심 애널리스트,20250629151143380_0_ko.pdf,20250629151143380_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250629151143380_0_ko.pdf
2025/06/30,현대백화점,BUY,"업종 내 독보적 실적, 주가 흐름도 견조한 유통주",이승은김도엽관심 애널리스트,20250629215154247_0_ko.pdf,20250629215154247_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250629215154247_0_ko.pdf
2025/06/27,디지털대성,Not-Rated,시장 우려와 다른 실적 성장세,권명준서석준관심 애널리스트,20250626170840573_0_ko.pdf,20250626170840573_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250626170840573_0_ko.pdf
2025/06/26,율촌,Not-Rated,"외형성장은 유효, 관세 불확실성은 부담",이현수관심 애널리스트,20250626070819523_0_ko.pdf,20250626070819523_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250626070819523_0_ko.pdf
2025/06/26,토모큐브,Not-Rated,"HT, 오가노이드 시험에 필수 장비로 기대",하현수관심 애널리스트,20250625212701817_0_ko.pdf,20250625212701817_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250625212701817_0_ko.pdf
2025/06/24,코오롱인더,BUY,"2025년 5월, 아라미드 가격 반등 시작하다!",황규원서석준관심 애널리스트,20250623165346583_0_ko.pdf,20250623165346583_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250623165346583_0_ko.pdf
2025/06/23,코스메카코리아,BUY,ODM 업종 내 저평가주,이승은김도엽관심 애널리스트,20250623071621630_0_ko.pdf,20250623071621630_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250623071621630_0_ko.pdf
2025/06/23,토니모리,Not-Rated,실적도 Good 주가도 Good,이승은김도엽관심 애널리스트,20250623072004877_0_ko.pdf,20250623072004877_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250623072004877_0_ko.pdf
2025/06/20,글로벌텍스프리,Not-Rated,고맙다! K-Culture의 확산!,권명준관심 애널리스트,20250619165930000_0_ko.pdf,20250619165930000_0_ko.pdf,,c:\Users\jse\Desktop\vscode\hanium_project\Finsight-service\Consensus-ETL\project\crawling\yuanta\..\..\consensus\yuanta\20250619165930000_0_ko.pdf
2025/07/11,미트박스,Not-Rated,효자손 같은 기업!,권명준서석준관심 애널리스트,20250710163252210_0_ko.pdf,20250710163252210_0_ko.pdf,,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/yuanta/20250710163252210_0_ko.pdf
