리포트생성날짜,종목코드,분야,종목명,컨센서스 제목,투자의견,목표주가,현재주가,애널리스트 이름
2025-05-19,000025,유틸리티업종,두산에너빌리티,NDR 후기: 2H25 가스터빈/,NDR,,"34,600원",
2025-05-20,000660,반도체업종,SK하이닉스,Initiation,N.R,"280,000원","199,400원",류형근
2025-05-20,002026,,반도체,반도체업 From Shadows to Clarity,N.R,"280,000원",,류형근
2025-05-20,005930,반도체업종,삼성전자,Initiation,N.R,"74,000원","55,800원",류형근
2025-06-16,009150,전자부품업종,삼성전기,삼성전기 2Q 실적 부진하나,BUY,"180,000원","126,900원",
2025-06-17,011070,전자부품업종,LG이노텍,LG이노텍,BUY,"220,000원","143,800원",
2025-06-18,066570,전자부품업종,LG전자,LG전자 2Q 부진하나,비중확대,"115,000원","73,800원",
2025-06-18,000660,반도체업종,SK하이닉스,Earnings Preview,N.R,"280,000원","249,000원",류형근
2025-06-18,000074,,반도체,반도체업 더 오를 수 있는 이유,N.R,"74,000원",,류형근
2025-06-18,005930,반도체업종,삼성전자,Earnings Preview,N.R,"74,000원","58,100원",류형근
2025-06-19,060720,,KH바텍,폴더블폰시장개화에서힌지중요성확대 =>자동차영역으로진출,매수,"15,000원","10,480원",
2025-06-19,039840,,디오,"디오 실적 저점 통과, 정책 호",N.R,"20,629원","18,700원",
2025-06-19,009150,,삼성전기,"유리기판,휴머노이드등신사업의추진 /밸류에이션재평가",매수,"180,000원","133,000원",
2025-06-20,115180,스몰캡업종,큐리언트,큐리언트,N.R,,"11,990원",
2025-06-23,353200,전자부품업종,대덕전자,대덕전자,BUY,"23,000원","16,540원",
2025-06-24,017670,통신서비스업종,SK텔레콤,SK텔레콤,BUY,"67,000원","56,800원",
2025-06-24,010130,비철금속업종,고려아연,고려아연,MARKETPERFORM,"750,000원","818,000원",
2025-06-25,451760,스몰캡업종,컨텍,컨텍 아시아 유일 지상국 서비,N.R,,"9,540원",
2025-06-25,002025,전자부품업종,티엘비,"티엘비 2Q, 2025년 최고 매출 예상,",BUY,"30,000원","22,550원",
2025-06-26,000025,,반도체,반도체업 좋은 스타트,N.R,"330,000원",,류형근
2025-06-26,307950,자동차업종,현대오토에버,"현대오토에버 단기 변동성 확대돼도,",BUY,"240,000원","178,100원",
2025-06-27,000150,지주업종,두산,두산,BUY,"810,000원","651,000원",
2025-06-30,282330,유통업종,BGF리테일,BGF리테일 실적 회복 시점도,매수,"140,000원","119,100원",삼아야
2025-06-30,007070,유통업종,GS리테일,GS리테일 실적 부진에 따른 주가 조정은,매수,"20,000원","16,610원",삼아야
2025-06-30,204320,업종,HL만도,HL만도 어려울 때 빛나는,BUY,"56,000원","32,650원",
2025-06-30,064960,부품업종,SNT모티브,SNT모티브,BUY,"37,000원","31,250원",
2025-06-30,004170,업종,신세계,신세계 하반기 이익 개선 강도,BUY,"220,000원","188,900원",
2025-06-30,069960,업종,현대백화점,현대백화점,BUY,"100,000원","75,400원",적극적
2025-07-01,006360,건설업종,GS건설,GS건설 얻은 것이 있으면,BUY,"24,000원","20,750원",
2025-07-01,103140,비철금속업종,풍산,풍산 리레이팅 완료된 방산.,BUY,"140,000원","128,700원",
