리포트생성날짜,종목코드,분야,종목명,컨센서스 제목,투자의견,목표주가,현재주가,상승여력,애널리스트 이름
2025-6-23,035760,미디어,CJ ENM,K-OTT 정책의 유일한 후보자,매수,"100,000원","79,700원",25.5%,김규연
2025-6-23,035900,엔터테인먼트,JYP Ent.,규모의 경제로 이익 레버리지가 실현되기를,매수,"95,000원","76,000원",25.0%,김규연
2025-6-23,253450,미디어,스튜디오드래곤,제작비 절감과 함께 하는 이익 레버리지,매수,"71,000원","54,700원",29.8%,김규연
2025-6-23,041510,엔터테인먼트,에스엠,탄탄한 저연차의 이익 레버리지,매수,"180,000원","138,200원",30.2%,김규연
2025-6-23,352820,엔터테인먼트,하이브,BTS 컴백 = 이익률 개선일지도,매수,"390,000원","307,000원",27.0%,김규연
2025-6-24,416180,자동차부품,신성에스티,터 유렵 전기차 수요 회복 효과,Not Rated,,"37,550원",,김진석
2025-6-24,044990,전자부품,에이치엔에스하이텍,택 ACF 비중 확대 및 신사업 확장,Not Rated,,"14,430원",,박준서
2025-6-24,419080,전기전자,엔젯,다가올 결실을 기다리며,Not Rated,,"7,330원",,박준서
2025-6-24,372170,배터리,윤성에프앤씨,"차세대 장비(연속식, LFP)에 주목 필요",Not Rated,,"27,050원",,박준서
2025-6-24,466100,기계,클로봇,로봇 시장에 우리가 빠질 수 없지,Not Rated,,"19,420원",,조연주
2025-6-24,417790,전기전자,트루엔,loT 확장 기대감 지속,Not Rated,,,,박준서
2025-6-24,378340,배터리,필에너지,고객사 확장과 차세대 기술 개발 지속,Not Rated,,"12,780원",,박준서
2025-6-24,198940,자동차부품,한주라이트메탈,"달 엔진부품 성장, 수의성 개선",Not Rated,,757원,,김진석
2025-6-25,463480,자동차부품,모티브링크,미래 전동화 전력변환 슬루선 업체,Not Rated,,"10,000원",,김진석
2025-6-25,177900,전자장비와,쓰리에이로직스,ESL 향 팀어라운드 Auto 향도 성장 지속,Not Rated,,,,박준서
2025-6-25,479960,전기부품,위너스,스마트 배선설비 전문 업체,Not Rated,,"14,970원",,김진석
2025-6-26,418470,디지털,KT밀리의서재,투자의 결실을 위하여,Not Rated,,"16,090원",,김규연
2025-6-26,309960,기타금융,LB인베스트먼트,본격적인 정부 의지로 산업 활성화 기대,Not Rated,,"5,310원",,박주연
2025-6-26,464580,미디어,닷밀,로켓에 올라타라,Not Rated,,"3,705원",,김규연
2025-6-26,373160,교육,데이원컴퍼니,EDU TRANSFORMATION,Not Rated,,"7,030원",,김규연
2025-6-26,475460,기타도소매,미트박스,온라인 축산물 직거래 플렉품,Not Rated,,"13,840원",,박주연
2025-6-26,314930,의료장비,바이오다인,로습의 LBC 도말 장비 출시로 매출 본격화 예상,Not Rated,,,,박선영
2025-6-26,199480,소프트웨어,뱅크웨어글로벌,"안정적인 기본 체력, 올라오는 신성장동력",Not Rated,,"7,500원",,박주연
2025-6-26,408900,엔터터인언트,스튜디오미르,로 원조 K-굳렌즈는 애니메이선,Not Rated,,"4,700원",,김규연
2025-6-30,034730,반도체,SK,신속한 재무구조 개선,매수,"275,000원","197,600원",39.2%,김영건
2025-6-30,036930,반도체,주성엔지니어링,하반기보다 내년에 주목,매수,"44,000원","31,800원",38.4%,김영건
