title,url,date,company,stock_name,stock_code,pdf_link,success,path,error
돋보이는 LNG,https://finance.naver.comcompany_read.naver?nid=82745&page=1,25.05.02,미래에셋증권,팬오션,028670,https://stock.pstatic.net/stock-research/company/29/20250502_company_440360000.pdf,True,./test/pdf_reports/미래에셋증권_팬오션_250502_돋보이는 LNG.pdf,
자회사 손익 개선세 확인 필요,https://finance.naver.comcompany_read.naver?nid=82744&page=1,25.05.02,한화투자증권,롯데이노베이트,286940,https://stock.pstatic.net/stock-research/company/16/20250502_company_119862000.pdf,True,./test/pdf_reports/한화투자증권_롯데이노베이트_250502_자회사 손익 개선세 확인 필요.pdf,
계속되는 분기 최대 실적 경신,https://finance.naver.comcompany_read.naver?nid=82743&page=1,25.05.02,하나증권,현대코퍼레이션,011760,https://stock.pstatic.net/stock-research/company/57/20250502_company_616157000.pdf,True,./test/pdf_reports/하나증권_현대코퍼레이션_250502_계속되는 분기 최대 실적 경신.pdf,
올해는 외형과 이익 모두 성장,https://finance.naver.comcompany_read.naver?nid=82742&page=1,25.05.02,하나증권,두산퓨얼셀,336260,https://stock.pstatic.net/stock-research/company/57/20250502_company_982189000.pdf,True,./test/pdf_reports/하나증권_두산퓨얼셀_250502_올해는 외형과 이익 모두 성장.pdf,
점진적 실적 개선 기대,https://finance.naver.comcompany_read.naver?nid=82741&page=1,25.05.02,하나증권,두산에너빌리티,034020,https://stock.pstatic.net/stock-research/company/57/20250502_company_560351000.pdf,True,./test/pdf_reports/하나증권_두산에너빌리티_250502_점진적 실적 개선 기대.pdf,
하반기 실적 개선 기조 확인,https://finance.naver.comcompany_read.naver?nid=82740&page=1,25.05.02,하나증권,대한전선,001440,https://stock.pstatic.net/stock-research/company/57/20250502_company_7440000.pdf,True,./test/pdf_reports/하나증권_대한전선_250502_하반기 실적 개선 기조 확인.pdf,
쉽지 않은 업황이지만,https://finance.naver.comcompany_read.naver?nid=82739&page=1,25.05.02,하나증권,LX인터내셔널,001120,https://stock.pstatic.net/stock-research/company/57/20250502_company_171642000.pdf,True,./test/pdf_reports/하나증권_LX인터내셔널_250502_쉽지 않은 업황이지만.pdf,
1Q25 Re: 기대치 부합,https://finance.naver.comcompany_read.naver?nid=82738&page=1,25.05.02,하나증권,팬오션,028670,https://stock.pstatic.net/stock-research/company/57/20250502_company_422062000.pdf,True,./test/pdf_reports/하나증권_팬오션_250502_1Q25 Re 기대치 부합.pdf,
"관세 부담이 생겼지만, 대형 유통망과의 거래..",https://finance.naver.comcompany_read.naver?nid=82737&page=1,25.05.02,하나증권,넥센타이어,002350,https://stock.pstatic.net/stock-research/company/57/20250502_company_476393000.pdf,True,./test/pdf_reports/하나증권_넥센타이어_250502_관세 부담이 생겼지만 대형 유통망과의 거래.pdf,
시총 70조원대 지지 전망,https://finance.naver.comcompany_read.naver?nid=82736&page=1,25.05.02,하나증권,LG에너지솔루션,373220,https://stock.pstatic.net/stock-research/company/57/20250502_company_900848000.pdf,True,./test/pdf_reports/하나증권_LG에너지솔루션_250502_시총 70조원대 지지 전망.pdf,
방산이 역시 효자다!,https://finance.naver.comcompany_read.naver?nid=82735&page=1,25.05.02,하나증권,풍산,103140,https://stock.pstatic.net/stock-research/company/57/20250502_company_472260000.pdf,True,./test/pdf_reports/하나증권_풍산_250502_방산이 역시 효자다.pdf,
2Q25 감익 예상,https://finance.naver.comcompany_read.naver?nid=82734&page=1,25.05.02,하나증권,SK이노베이션,096770,https://stock.pstatic.net/stock-research/company/57/20250502_company_473584000.pdf,True,./test/pdf_reports/하나증권_SK이노베이션_250502_2Q25 감익 예상.pdf,
석유화학 개선 가능성 vs. 양극재 판매량 감..,https://finance.naver.comcompany_read.naver?nid=82733&page=1,25.05.02,하나증권,LG화학,051910,https://stock.pstatic.net/stock-research/company/57/20250502_company_390456000.pdf,True,./test/pdf_reports/하나증권_LG화학_250502_석유화학 개선 가능성 vs 양극재 판매량 감.pdf,
