title,subtitle,date,author,pdf_url,category,stock_name
카페24, 거래액 성장률이 아쉬워,2025.05.09,김아람,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335278,국내종목,카페24
롯데렌탈, 1Q25 Review: 영업이익 성장 전환,2025.05.09,최승환,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335262,국내종목,롯데렌탈
토비스, 1Q25 Review: 락바텀 확인,2025.05.09,최승환,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335260,국내종목,토비스
KT&G, 지속되는 해외 영토 확장,2025.05.09,조상훈,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335259,국내종목,KT&G
미래에셋증권, It's Showtime,2025.05.09,임희연,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335258,국내종목,미래에셋증권
데브시스터즈,  서프라이즈,2025.05.09,강석오,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335256,국내종목,데브시스터즈
넷마블, 재평가 확신,2025.05.09,강석오,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335253,국내종목,넷마블
LG유플러스, 추가 상승 여력 남아있어,2025.05.09,김아람,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335252,국내종목,LG유플러스
BGF리테일, 성수기 시즌 객수 회복에 걸어보는 희망,2025.05.09,조상훈,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335251,국내종목,BGF리테일
LIG넥스원," 1Q25 Re 익숙한 상고하저, 핵심은 질적 성장",2025.05.09,이동헌,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335250,국내종목,LIG넥스원
에이피알," 성장성 폭발, 주가 폭발",2025.05.09,박현진,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335249,국내종목,에이피알
레저, 이연수요가 핵심!,2025.05.08,지인해,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335213,국내업종,레저
롯데칠성, 해외 외형 성장 회복이 반등의 열쇠,2025.05.08,조상훈,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335211,국내종목,롯데칠성
한올바이오파마, 방향은 잡혔다. 속도만 올리자,2025.05.08,엄민용,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335206,국내종목,한올바이오파마
카카오페이, 상장 이래 첫 연결 영업흑자 달성,2025.05.08,임희연,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335205,국내종목,카카오페이
인터넷, 5월 온라인 광고/커머스 지표 확인,2025.05.08,강석오,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335202,국내업종,인터넷
카카오뱅크, 압도적인 수신 경쟁력 재입증,2025.05.08,은경완,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335201,국내종목,카카오뱅크
엔터/미디어, 업종에 대한 신한생각 정리,2025.05.07,지인해,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335155,국내업종,엔터/미디어
더블유씨피, 점차 가시화될 신규 수주 모멘텀,2025.05.07,이진명,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335154,국내종목,더블유씨피
엘앤에프, 하반기 개선 방향성은 유효,2025.05.02,이진명,https://bbs2.shinhaninvest.com/board/message/file.do?attachmentId=335086,국내종목,엘앤에프
