종목명,제목,작성일,애널리스트,카테고리,투자의견,목표가,요약
카페24, 거래액 성장률이 아쉬워,2025.05.09,김아람,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 Complianc e Notice",,
롯데렌탈, 1Q25 Review: 영업이익 성장 전환,2025.05.09,최승환,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 
  7  I  
 
   
 COMPANY  REPORT  I  롯데렌탈  2025 년 5월 9일 
 
 
 
 Compliance Notice",,
토비스, 1Q25 Review: 락바텀 확인,2025.05.09,최승환,국내종목,,,
KT&G, 지속되는 해외 영토 확장,2025.05.09,조상훈,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 
    
 COMPANY  REPORT  I  KT",,
미래에셋증권, It's Showtime,2025.05.09,임희연,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 
    
 COMPANY  REPORT  I  미래에셋증권  2025 년 5월 9일 
 
 13  I  
 
 
 
 Complianc e Notice",,
데브시스터즈,  서프라이즈,2025.05.09,강석오,국내종목,,,
넷마블, 재평가 확신,2025.05.09,강석오,국내종목,,,
LG유플러스, 추가 상승 여력 남아있어,2025.05.09,김아람,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 Complianc e Notice","14,500원",
BGF리테일, 성수기 시즌 객수 회복에 걸어보는 희망,2025.05.09,조상훈,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 
    
 COMPANY  REPORT  I  BGF리테일  2025 년 5월 9일 
 
 7  I  
 
 
 
 Complianc e Notice",,
LIG넥스원," 1Q25 Re 익숙한 상고하저, 핵심은 질적 성장",2025.05.09,이동헌,국내종목,을  유지하 고 목표주가를  43만원으로  상향,,
에이피알," 성장성 폭발, 주가 폭발",2025.05.09,박현진,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 
    
 COMPANY  REPORT  I  에이피알  2025 년 5월 9일 
 
 5  I  
 
 
 
 Complianc e Notice",,
레저, 이연수요가 핵심!,2025.05.08,지인해,국내업종,이  시가총액  기준으로  매수 비중이  높을 경우,,
롯데칠성, 해외 외형 성장 회복이 반등의 열쇠,2025.05.08,조상훈,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 
    
 COMPANY  REPORT  I  롯데칠성  2025 년 5월 8일 
 
 7  I  
 
 
 
 Complianc e Notice",,
한올바이오파마, 방향은 잡혔다. 속도만 올리자,2025.05.08,엄민용,국내종목,매수 유지,2,
카카오페이, 상장 이래 첫 연결 영업흑자 달성,2025.05.08,임희연,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 
    
 COMPANY  REPORT  I  카카오페이  2025 년 5월 8일 
 
 19  I  
 
 
 
 Complianc e Notice",,
인터넷, 5월 온라인 광고/커머스 지표 확인,2025.05.08,강석오,국내업종,이  시가총액  기준으로  매수 비중이  높을 경우,,
카카오뱅크, 압도적인 수신 경쟁력 재입증,2025.05.08,은경완,국내종목,및 목표주가 유지  카카오뱅크,,
엔터/미디어, 업종에 대한 신한생각 정리,2025.05.07,지인해,국내업종,이  시가총액  기준으로  매수 비중이  높을 경우,,
더블유씨피, 점차 가시화될 신규 수주 모멘텀,2025.05.07,이진명,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 
    
 COMPANY  REPORT  I  더블유씨피  2025 년 5월 7일 
 
 5  I  
 
 
 
 Complianc e Notice",,
엘앤에프, 하반기 개선 방향성은 유효,2025.05.02,이진명,국내종목,"및 목표주가  추이 
 
 
 
 
 
 
 
 
 
 
 
    
 COMPANY  REPORT  I  엘앤에프  2025 년 5월 2일 
 
 7  I  
 
 
 
 Complianc e Notice",,
