date,stock,opinion,title,author,original_filename,pdf_filename,pdf_link,pdf_path
2025/05/09,오상헬스케어,Not-Rated,기대되는 2025년,권명준관심 애널리스트,20250509174549443_0_ko.pdf,20250509174549443_0_ko.pdf,,유안타증권_리포트/pdfs/20250509174549443_0_ko.pdf
2025/05/09,슈프리마,Not-Rated,변함없는 실적성장 요인,권명준관심 애널리스트,20250509174827430_0_ko.pdf,20250509174827430_0_ko.pdf,,유안타증권_리포트/pdfs/20250509174827430_0_ko.pdf
2025/05/09,헥토이노베이션,Not-Rated,드디어 멈춘 외국인 매도세,권명준관심 애널리스트,20250509174224140_0_ko.pdf,20250509174224140_0_ko.pdf,,유안타증권_리포트/pdfs/20250509174224140_0_ko.pdf
2025/05/09,에이피알,BUY,선진·신흥시장 동반 성장 통한 글로벌 경쟁력 강화,이승은김도엽관심 애널리스트,20250509072622060_0_ko.pdf,20250509072622060_0_ko.pdf,,유안타증권_리포트/pdfs/20250509072622060_0_ko.pdf
2025/05/09,기업은행,Hold,대손비용률 하락 배당수익률 상승 기대,우도형관심 애널리스트,20250508194247163_0_ko.pdf,20250508194247163_0_ko.pdf,,유안타증권_리포트/pdfs/20250508194247163_0_ko.pdf
2025/05/09,카카오,BUY,실적 개선은 가능. 성장성 회복은 지켜보자,이창영관심 애널리스트,20250508174007317_0_ko.pdf,20250508174007317_0_ko.pdf,,유안타증권_리포트/pdfs/20250508174007317_0_ko.pdf
2025/05/08,키움증권,BUY,이대로만 가자,우도형관심 애널리스트,20250501145015577_0_ko.pdf,20250501145015577_0_ko.pdf,,유안타증권_리포트/pdfs/20250501145015577_0_ko.pdf
2025/05/07,두산밥캣,BUY,관세 우려로 인한 아쉬운 판매환경,장윤석관심 애널리스트,20250506135812060_0_ko.pdf,20250506135812060_0_ko.pdf,,유안타증권_리포트/pdfs/20250506135812060_0_ko.pdf
2025/05/07,대한전선,BUY,1Q25 Review: 본게임은 하반기부터,손현정관심 애널리스트,20250506164100370_0_ko.pdf,20250506164100370_0_ko.pdf,,유안타증권_리포트/pdfs/20250506164100370_0_ko.pdf
2025/05/07,LG생활건강,Hold,"실적 선방은 긍정, 북미 리스크는 숙제",이승은김도엽관심 애널리스트,20250507065509383_0_ko.pdf,20250507065509383_0_ko.pdf,,유안타증권_리포트/pdfs/20250507065509383_0_ko.pdf
