event_date,event_time,country,event_name,actual,forecast,previous,importance,source,collected_at
2025-06-24,23:00,미국,리치몬드 연준 제조업 지수 Jun,,-7,-9,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,23:00,미국,컨퍼런스보드 소비자 신뢰지수 Jun,,99.8,98.0,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,23:00,미국,리치몬드 연은 제조업 출하 지수 Jun,,,-10,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,23:00,영국,BoE Gov Bailey 연설 ,,,,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,23:00,미국,Fed Chair Powell 증언 ,,,,상,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,23:00,미국,리치몬드 연준 서비스 수익 지수 Jun,,,-11,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,23:00,영국,BoE 브리든 연설 ,,,,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,22:35,영국,BoE 램스덴 연설 ,,,,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,22:15,미국,Fed Hammack 연설 ,,,,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,22:00,미국,주택가격 지수 (전월비) Apr,,0.1%,-0.1%,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,22:00,미국,S&P/케이스실러 주택가격지수 (전년비) Apr,,4.2%,4.1%,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,22:00,미국,S&P/케이스실러 주택가격지수 (전월비) Apr,,,1.1%,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,22:00,미국,주택가격 지수 (전년비) Apr,,,3.7%,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,22:00,미국,주택가격 지수 Apr,,,436.6,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,21:55,미국,Redbook 지수(전년비) Jun/21,,,5.2%,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,21:30,미국,경상수지 Q1,,$-440B,$-380B,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,19:00,영국,CBI 산업수주동향 Jun,,-29,-30,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,18:30,영국,BoE 그린 연설 ,,,,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,18:00,영국,10년 만기 지수연계 국채 입찰 ,,,1.268%,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,14:00,대한민국,20년 만기 국채 입찰 ,,,2.715%,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,09:00,중국,National People's Congress Standing Committee ,,,,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,06:00,대한민국,소비자 신뢰지수 Jun,,,101.8,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,03:30,미국,연준 쿠글러 연설 ,,,,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,02:10,미국,Fed Golsbee 연설 ,,,,중,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,00:30,미국,3개월 만기 국채 입찰 ,,,4.240%,하,한경 경제캘린더,2025-06-24 00:31:00
2025-06-24,00:30,미국,6개월 만기 국채 입찰 ,,,4.155%,하,한경 경제캘린더,2025-06-24 00:31:00
