title,text
CJ ENM K-OTT 정책의 유일한 후보자,"2025-6-23 35760 미디어 매수 100,000원 79,700원 25.5% 김규연 CJ ENM K-OTT 정책의 유일한 후보자"
JYP Ent. 규모의 경제로 이익 레버리지가 실현되기를,"2025-6-23 35900 엔터테인먼트 매수 95,000원 76,000원 25.0% 김규연 JYP Ent. 규모의 경제로 이익 레버리지가 실현되기를"
스튜디오드래곤 제작비 절감과 함께 하는 이익 레버리지,"2025-6-23 253450 미디어 매수 71,000원 54,700원 29.8% 김규연 스튜디오드래곤 제작비 절감과 함께 하는 이익 레버리지"
에스엠 탄탄한 저연차의 이익 레버리지,"2025-6-23 41510 엔터테인먼트 매수 180,000원 138,200원 30.2% 김규연 에스엠 탄탄한 저연차의 이익 레버리지"
하이브 BTS 컴백 = 이익률 개선일지도,"2025-6-23 352820 엔터테인먼트 매수 390,000원 307,000원 27.0% 김규연 하이브 BTS 컴백 = 이익률 개선일지도"
신성에스티 터 유렵 전기차 수요 회복 효과,"2025-6-24 416180 자동차부품 Not Rated nan 37,550원 nan 김진석 신성에스티 터 유렵 전기차 수요 회복 효과"
에이치엔에스하이텍 택 ACF 비중 확대 및 신사업 확장,"2025-6-24 44990 전자부품 Not Rated nan 14,430원 nan 박준서 에이치엔에스하이텍 택 ACF 비중 확대 및 신사업 확장"
엔젯 다가올 결실을 기다리며,"2025-6-24 419080 전기전자 Not Rated nan 7,330원 nan 박준서 엔젯 다가올 결실을 기다리며"
"윤성에프앤씨 차세대 장비(연속식, LFP)에 주목 필요","2025-6-24 372170 배터리 Not Rated nan 27,050원 nan 박준서 윤성에프앤씨 차세대 장비(연속식, LFP)에 주목 필요"
클로봇 로봇 시장에 우리가 빠질 수 없지,"2025-6-24 466100 기계 Not Rated nan 19,420원 nan 조연주 클로봇 로봇 시장에 우리가 빠질 수 없지"
트루엔 loT 확장 기대감 지속,2025-6-24 417790 전기전자 Not Rated nan nan nan 박준서 트루엔 loT 확장 기대감 지속
필에너지 고객사 확장과 차세대 기술 개발 지속,"2025-6-24 378340 배터리 Not Rated nan 12,780원 nan 박준서 필에너지 고객사 확장과 차세대 기술 개발 지속"
"한주라이트메탈 달 엔진부품 성장, 수의성 개선","2025-6-24 198940 자동차부품 Not Rated nan 757원 nan 김진석 한주라이트메탈 달 엔진부품 성장, 수의성 개선"
모티브링크 미래 전동화 전력변환 슬루선 업체,"2025-6-25 463480 자동차부품 Not Rated nan 10,000원 nan 김진석 모티브링크 미래 전동화 전력변환 슬루선 업체"
쓰리에이로직스 ESL 향 팀어라운드 Auto 향도 성장 지속,2025-6-25 177900 전자장비와 Not Rated nan nan nan 박준서 쓰리에이로직스 ESL 향 팀어라운드 Auto 향도 성장 지속
위너스 스마트 배선설비 전문 업체,"2025-6-25 479960 전기부품 Not Rated nan 14,970원 nan 김진석 위너스 스마트 배선설비 전문 업체"
KT밀리의서재 투자의 결실을 위하여,"2025-6-26 418470 디지털 Not Rated nan 16,090원 nan 김규연 KT밀리의서재 투자의 결실을 위하여"
LB인베스트먼트 본격적인 정부 의지로 산업 활성화 기대,"2025-6-26 309960 기타금융 Not Rated nan 5,310원 nan 박주연 LB인베스트먼트 본격적인 정부 의지로 산업 활성화 기대"
닷밀 로켓에 올라타라,"2025-6-26 464580 미디어 Not Rated nan 3,705원 nan 김규연 닷밀 로켓에 올라타라"
데이원컴퍼니 EDU TRANSFORMATION,"2025-6-26 373160 교육 Not Rated nan 7,030원 nan 김규연 데이원컴퍼니 EDU TRANSFORMATION"
미트박스 온라인 축산물 직거래 플렉품,"2025-6-26 475460 기타도소매 Not Rated nan 13,840원 nan 박주연 미트박스 온라인 축산물 직거래 플렉품"
바이오다인 로습의 LBC 도말 장비 출시로 매출 본격화 예상,2025-6-26 314930 의료장비 Not Rated nan nan nan 박선영 바이오다인 로습의 LBC 도말 장비 출시로 매출 본격화 예상
"뱅크웨어글로벌 안정적인 기본 체력, 올라오는 신성장동력","2025-6-26 199480 소프트웨어 Not Rated nan 7,500원 nan 박주연 뱅크웨어글로벌 안정적인 기본 체력, 올라오는 신성장동력"
스튜디오미르 로 원조 K-굳렌즈는 애니메이선,"2025-6-26 408900 엔터터인언트 Not Rated nan 4,700원 nan 김규연 스튜디오미르 로 원조 K-굳렌즈는 애니메이선"
SK 신속한 재무구조 개선,"2025-6-30 34730 반도체 매수 275,000원 197,600원 39.2% 김영건 SK 신속한 재무구조 개선"
주성엔지니어링 하반기보다 내년에 주목,"2025-6-30 36930 반도체 매수 44,000원 31,800원 38.4% 김영건 주성엔지니어링 하반기보다 내년에 주목"
