종목코드,종목명,리포트제목,작성자,작성일자,PDF파일명,PDF링크,투자의견,목표가,PDF저장경로
011780,금호석유,금호석유(011780.KS/매수): NB Latex 마저 돌아선다면,수석연구위원 윤재성,2025-05-09,KHPC_1Q25_Review_20250512_F.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282687&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,hana_reports/2025/05/09/KHPC_1Q25_Review_20250512_F.pdf
122870,와이지엔터테인먼트,"와이지엔터테인먼트(122870.KQ, BUY, TP 88,000원(상향)): 블랙핑크 월드투어보다 MD 매출이 높다고?",연구위원 이기훈,2025-05-09,yg_250512.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282686&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,,88000,hana_reports/2025/05/09/yg_250512.pdf
280360,롯데웰푸드,롯데웰푸드(280360.KS/매수): 1Q25 Re: 하반기는 YoY 증익 가능할 듯,수석연구위원 심은주,2025-05-09,WellFood_1Q25_re_2025.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282685&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,hana_reports/2025/05/09/WellFood_1Q25_re_2025.pdf
030200,KT,KT(030200.KS/매수): 1Q 리뷰 - 8월까지는 주가 상승 지속될 듯합니다,김홍식,2025-05-09,KT_1Q25_Review.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282683&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,hana_reports/2025/05/09/KT_1Q25_Review.pdf
161390,한국타이어앤테크놀로지,"한국타이어앤테크놀로지 (161390.KS/매수): 펀더멘털은 좋은데, 외풍과 아픈 손가락이 문제",팀장 송선재,2025-05-09,hankooktire_250509_1Q25.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282688&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,hana_reports/2025/05/09/hankooktire_250509_1Q25.pdf
251970,펌텍코리아,펌텍코리아(251970.KQ/Not Rated): 분기 최대 실적 경신,박은정,2025-05-09,Pumtech_250509.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282677&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,Not Rated,,hana_reports/2025/05/09/Pumtech_250509.pdf
036420,콘텐트리중앙,"콘텐트리중앙(036420.KS, BUY, TP 16,500원): 메가박스와 롯데컬쳐웍스 합병 MOU 체결",연구위원 이기훈,2025-05-09,contentree_250509.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282676&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,,16500,hana_reports/2025/05/09/contentree_250509.pdf
018880,한온시스템,한온시스템 (018880.KS/중립): 영업이익보다 많은 이자비용,팀장 송선재,2025-05-08,hanon_250508.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282663&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,중립,,hana_reports/2025/05/08/hanon_250508.pdf
032640,LG유플러스,LG유플러스(032640.KS/매수): 1Q 리뷰 - 아직 팔 때 아닙니다,김홍식,2025-05-08,LGU_1Q25_Review.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282661&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,hana_reports/2025/05/08/LGU_1Q25_Review.pdf
032640,LG유플러스,LG유플러스(032640.KS/매수): 2025년 1분기 컨퍼런스콜 요약,김홍식,2025-05-08,LGU_1Q25_CC_0508.pdf,https://www.hanaw.com/main/research/research/download.cmd?bbsSeq=1282660&attachFileSeq=1&bbsId=&dbType=&bbsCd=2224,매수,,hana_reports/2025/05/08/LGU_1Q25_CC_0508.pdf
